               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.057352,            0.051383,                   0,             0.35584,             0.57143,             0.38687,             0.11986,            0.059906,            0.020185,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.054694,            0.045368,                   0,             0.38953,             0.53061,             0.43767,             0.15653,             0.06017,            0.020002,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.056289,            0.046974,                   0,             0.41639,             0.55102,             0.45298,              0.1341,            0.058904,             0.01965,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.055337,            0.041392,                   0,              0.5427,             0.42857,             0.47415,             0.15824,            0.060208,             0.01914,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.052356,            0.039959,                   0,             0.42449,             0.55102,             0.49751,              0.1337,            0.058101,            0.018972,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.052395,            0.044211,                   0,              0.4062,             0.55102,             0.45604,             0.15418,            0.058696,            0.018543,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.053548,            0.040073,                   0,             0.43349,             0.57787,             0.46493,             0.15548,             0.05725,            0.018272,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.054951,             0.05349,                   0,             0.43805,             0.60459,             0.50398,             0.15225,            0.056295,            0.018103,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.053955,            0.048192,                   0,             0.44236,             0.55102,             0.49822,             0.15677,            0.055856,            0.018007,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.051658,            0.045197,                   0,             0.44874,             0.53162,             0.47462,             0.16862,             0.05558,            0.017918,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.050804,            0.045936,                   0,             0.44782,             0.55102,             0.45519,             0.17114,            0.055112,            0.017782,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.051147,            0.048934,                   0,             0.45529,             0.55102,             0.47677,             0.17462,            0.055098,            0.017509,                   0,            0.000496,            0.000496,            0.000496
